iter	Passed	Remaining
872	1812	263
873	1814	261
874	1815	259
875	1817	257
876	1819	255
877	1821	253
878	1822	250
879	1824	248
880	1826	246
881	1828	244
882	1829	242
883	1831	240
884	1833	238
885	1835	236
886	1836	234
887	1838	231
888	1840	229
889	1842	227
890	1844	225
891	1846	223
892	1848	221
893	1850	219
894	1851	217
895	1853	215
896	1855	213
897	1857	210
898	1859	208
899	1861	206
900	1863	204
901	1864	202
902	1866	200
903	1868	198
904	1869	196
905	1871	194
906	1873	192
907	1875	190
908	1877	187
909	1878	185
910	1880	183
911	1882	181
912	1884	179
913	1886	177
914	1887	175
915	1889	173
916	1891	171
917	1893	169
918	1895	167
919	1897	164
920	1899	162
921	1901	160
922	1903	158
923	1904	156
924	1906	154
925	1908	152
926	1910	150
927	1911	148
928	1913	146
929	1915	144
930	1917	142
931	1919	140
932	1922	138
933	1924	135
934	1926	133
935	1927	131
936	1930	129
937	1932	127
938	1933	125
939	1935	123
940	1937	121
941	1939	119
942	1940	117
943	1942	115
944	1944	113
945	1946	111
946	1948	109
947	1950	106
948	1951	104
949	1953	102
950	1955	100
951	1957	98
952	1958	96
953	1960	94
954	1963	92
955	1965	90
956	1967	88
957	1969	86
958	1971	84
959	1973	82
960	1975	80
961	1978	78
962	1980	76
963	1982	74
964	1984	71
965	1986	69
966	1988	67
967	1991	65
968	1993	63
969	1996	61
970	1998	59
971	2000	57
972	2002	55
973	2004	53
974	2006	51
975	2008	49
976	2010	47
977	2012	45
978	2014	43
979	2016	41
980	2018	39
981	2020	37
982	2022	34
983	2024	32
984	2026	30
985	2028	28
986	2030	26
987	2032	24
988	2034	22
989	2037	20
990	2039	18
991	2041	16
992	2042	14
993	2045	12
994	2047	10
995	2048	8
996	2051	6
997	2053	4
998	2054	2
999	2056	0
